Timestamp Start,Open,High,Low,Close,Volume,Timestamp End,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-11-21,56.57,57.4,51.23,51.65,10741088.9,2023-11-21 23:59:59.999,586407080.0082,810170,5316178.41,290277299.333,0
2023-11-22,51.65,58.94,51.43,57.56,7891464.65,2023-11-22 23:59:59.999,437326650.2853,471290,3969490.11,219823587.9697,0
2023-11-23,57.55,59.63,56.14,56.51,4925635.15,2023-11-23 23:59:59.999,284148025.1951,383230,2415857.21,139426965.4176,0
2023-11-24,56.52,58.79,56.2,56.86,3905651.92,2023-11-24 23:59:59.999,224921680.8743,319344,1935951.93,111531498.3986,0
2023-11-25,56.86,59.82,55.7,58.82,4095129.28,2023-11-25 23:59:59.999,239441357.6541,314780,2050701.28,119999542.2014,0
2023-11-26,58.81,59.04,56.12,57.57,3097837.47,2023-11-26 23:59:59.999,178464407.2827,250802,1529318.34,88157394.8786,0
2023-11-27,57.57,58.09,53.47,55.06,4618869.6,2023-11-27 23:59:59.999,255149638.2161,357965,2288368.68,126352915.1457,0
2023-11-28,55.06,58.65,53.94,58.18,5642915.95,2023-11-28 23:59:59.999,318405563.2279,367903,2971068.72,167670391.2083,0
2023-11-29,58.18,61.78,57.72,59.31,7574392.84,2023-11-29 23:59:59.999,452934119.5893,484253,3841911.05,229719275.5609,0
2023-11-30,59.31,61.7,58.75,59.3,4597104.01,2023-11-30 23:59:59.999,275587046.658,341750,2349326.86,140859819.9536,0
2023-12-01,59.3,61.9,58.6,59.75,5422494.06,2023-12-01 23:59:59.999,328236649.1286,382246,2811553.17,170211621.0581,0
2023-12-02,59.74,63.9,59.67,63.66,4898503.76,2023-12-02 23:59:59.999,303922362.6854,364915,2606938.18,161751473.5448,0
2023-12-03,63.66,65.53,62.22,62.98,4675198.65,2023-12-03 23:59:59.999,297939228.062,360268,2344824.97,149564908.5522,0
2023-12-04,62.99,65.25,59.75,61.64,7696216.19,2023-12-04 23:59:59.999,480297269.4067,525683,3912969.25,244109861.2151,0
2023-12-05,61.63,62.6,59.11,61.03,6032438.26,2023-12-05 23:59:59.999,365959805.8631,399777,3071781.57,186429667.7959,0
2023-12-06,61.04,66.68,61.03,61.85,11121135.68,2023-12-06 23:59:59.999,708229617.1834,848401,5600956.9,356858114.9635,0
2023-12-07,61.85,69.37,61.64,67.74,10648583.32,2023-12-07 23:59:59.999,693832168.8671,771637,5627627.52,367174122.643,0
2023-12-08,67.74,75.3,67.74,74.94,11314830.348,2023-12-08 23:59:59.999,813635345.2478461,814049,5808220.128,417590274.328246,0
2023-12-09,74.93,77.78,71.5,72.3,8809964.3,2023-12-09 23:59:59.999,661734151.0119,695172,4318994.61,324563872.1069,0
2023-12-10,72.31,74.89,70.67,74.87,5886808.01,2023-12-10 23:59:59.999,429356414.6488,434901,3020247.96,220434257.6913,0
2023-12-11,74.88,75.0,64.18,70.25,12970688.47,2023-12-11 23:59:59.999,901955694.2818,974088,6403375.41,445350194.0109,0
2023-12-12,70.24,72.42,65.75,68.6,7763463.64,2023-12-12 23:59:59.999,541671172.2283,588718,3808248.75,265720193.2168,0
2023-12-13,68.6,72.6,63.67,70.62,8271925.44,2023-12-13 23:59:59.999,559579173.0734,603343,4085054.22,276713408.5228,0
2023-12-14,70.62,76.24,68.18,75.68,7493589.41,2023-12-14 23:59:59.999,543474285.6242,633186,3743096.26,271784050.44,0
2023-12-15,75.68,79.5,72.13,72.51,8834567.44,2023-12-15 23:59:59.999,673033918.0997,786885,4658170.88,355055117.1252,0
2023-12-16,72.51,77.22,71.18,73.72,5513079.61,2023-12-16 23:59:59.999,410808269.5864,466725,2849930.9,212362045.1254,0
2023-12-17,73.71,75.05,70.36,70.87,5108641.26,2023-12-17 23:59:59.999,372478234.0344,422507,2505359.06,182721496.3352,0
2023-12-18,70.85,75.46,67.0,74.42,7219822.33,2023-12-18 23:59:59.999,509564447.4618,611266,3748877.08,264906318.7018,0
2023-12-19,74.41,76.37,71.78,73.0,6086806.16,2023-12-19 23:59:59.999,452723595.9081,527336,3163099.02,235320658.6769,0
2023-12-20,73.0,84.14,72.96,82.21,10701294.29,2023-12-20 23:59:59.999,844729188.4502,949815,5495655.74,433777056.7134,0
2023-12-21,82.22,95.54,81.03,93.84,12129644.35,2023-12-21 23:59:59.999,1071627249.9601,1243866,6121733.66,540602954.8003,0
2023-12-22,93.86,99.5,90.34,97.9,11975121.56,2023-12-22 23:59:59.999,1142233209.1915,1304087,5989875.58,571587438.2098,0
2023-12-23,97.91,110.0,92.8,107.88,8336420.6,2023-12-23 23:59:59.999,834085981.572,993004,4206555.54,421616020.287,0
2023-12-24,107.88,118.1,107.3,112.45,12261699.03,2023-12-24 23:59:59.999,1381818060.2829,1666365,6115059.48,689414206.2931,0
2023-12-25,112.45,126.36,107.92,120.91,11114497.92,2023-12-25 23:59:59.999,1304701622.3238,1530670,5849533.45,687526675.1979,0
2023-12-26,120.91,121.36,102.09,112.49,12300095.38,2023-12-26 23:59:59.999,1381917663.7165,1600432,5982009.94,671999842.1955,0
2023-12-27,112.48,115.3,104.58,106.91,8972638.9,2023-12-27 23:59:59.999,984653333.0384,1233525,4485827.58,492091907.853,0
2023-12-28,106.92,109.66,97.14,101.8,10194201.02,2023-12-28 23:59:59.999,1043685011.5619,1255836,4926936.61,504735199.7254,0
2023-12-29,101.8,110.0,99.0,106.17,9432538.67,2023-12-29 23:59:59.999,998024734.4306,1208220,4851388.56,513548060.9748,0
2023-12-30,106.17,107.47,100.62,101.9,4178339.62,2023-12-30 23:59:59.999,432370368.8049,527519,2025406.37,209654507.8534,0
2023-12-31,101.9,105.21,99.54,101.72,3821990.67,2023-12-31 23:59:59.999,393154901.3442,490129,1891118.52,194679367.5163,0
2024-01-01,101.72,109.93,101.44,109.91,4403310.37,2024-01-01 23:59:59.999,464763783.1089,563530,2246699.81,237204677.8307,0
2024-01-02,109.93,116.95,106.02,106.73,7831366.05,2024-01-02 23:59:59.999,872701826.1161,1029366,4008477.7,446827198.4585,0
2024-01-03,106.72,109.9,85.0,98.52,12221060.38,2024-01-03 23:59:59.999,1229680872.7649,1428502,6232536.62,627433827.0282,0
2024-01-04,98.52,108.15,96.6,104.91,7235482.95,2024-01-04 23:59:59.999,737464117.3016,828177,3653791.9,372489031.1483,0
2024-01-05,104.91,105.48,95.23,99.94,6703567.21,2024-01-05 23:59:59.999,670654588.264,792668,3291710.91,329377085.3062,0
2024-01-06,99.93,100.3,91.53,93.77,5151478.03,2024-01-06 23:59:59.999,489617161.2686,613981,2480905.0,235955276.8468,0
2024-01-07,93.77,96.8,87.68,89.44,5547334.15,2024-01-07 23:59:59.999,518106999.3883,610413,2580916.31,241282856.9552,0
2024-01-08,89.44,99.97,85.16,97.88,9677497.13,2024-01-08 23:59:59.999,898941032.1847,1011344,4710092.51,438203479.6475,0
2024-01-09,97.88,104.89,95.25,99.36,8574930.67,2024-01-09 23:59:59.999,856996851.9727,1264291,4321290.81,432338871.2131,0
2024-01-10,99.36,105.52,91.68,102.0,8634280.07,2024-01-10 23:59:59.999,844272802.6054,1171099,4381449.74,428847765.9538,0
2024-01-11,101.99,107.32,97.67,99.9,8986682.95,2024-01-11 23:59:59.999,917867725.4233,1293558,4538503.46,463763615.2873,0
2024-01-12,99.89,100.49,87.0,92.12,6462190.24,2024-01-12 23:59:59.999,617727525.6966,875300,3043361.85,291130683.4635,0
2024-01-13,92.14,97.05,89.51,95.85,4054010.92,2024-01-13 23:59:59.999,378014581.5299,483031,2011237.7,187619835.9601,0
2024-01-14,95.85,102.87,93.62,93.81,5767904.66,2024-01-14 23:59:59.999,563898813.3397,756466,2891152.04,282743985.9701,0
2024-01-15,93.81,96.96,92.97,94.36,3605978.31,2024-01-15 23:59:59.999,343222588.9155,434916,1739738.38,165668405.4798,0
2024-01-16,94.35,98.73,94.16,97.61,3768288.08,2024-01-16 23:59:59.999,364626155.0271,443725,1892826.06,183226578.5683,0
2024-01-17,97.6,102.8,96.5,102.1,6932306.54,2024-01-17 23:59:59.999,694509428.5928,890899,3613340.78,362073414.4295,0
2024-01-18,102.1,103.59,91.41,94.4,6216673.0,2024-01-18 23:59:59.999,605242236.5343,714584,3072389.67,299429596.4267,0
2024-01-19,94.39,95.47,87.04,93.62,6357442.75,2024-01-19 23:59:59.999,586831116.74,684705,3168213.54,292427897.8248,0
2024-01-20,93.62,94.27,90.2,92.88,2799385.87,2024-01-20 23:59:59.999,258219863.8251,301796,1369328.96,126304723.0608,0
2024-01-21,92.88,93.93,90.79,91.09,2013751.83,2024-01-21 23:59:59.999,186423090.0921,229723,969328.97,89740138.7021,0
